Kode Kecamatan,Nama Kecamatan,UPT Puskesmas,Estimasi Penderita Hipertensi Usia >= 15 Tahun Laki - laki,Estimasi Penderita Hipertensi Usia >= 15 Tahun Perempuan,Mendapatkan Pelayanan Kesehatan Laki - laki,Mendapatkan Pelayanan Kesehatan Perempuan
33.03.01,Kemangkon,Kemangkon,6.529,6.028,526,765
33.03.02,Bukateja,Bukateja,4.121,4.292,368,1.125
33.03.02,Bukateja,Kutawis,3.363,3.508,517,1.513
33.03.03,Kejobong,Kejobong,4.859,4.432,423,819
33.03.16,Pengadegan,Pengadegan,4.025,4.332,442,1.120
33.03.04,Kaligondang,Kaligondang,3.644,4.223,425,319
33.03.04,Kaligondang,Kalikajar,2.096,2.482,531,808
33.03.05,Purbalingga,Purbalingga,4.797,5.302,2.049,422
33.03.05,Purbalingga,Bojong,1.484,1.701,487,589
33.03.06,Kalimanah,Kalimanah,6.469,6.829,610,1.137
33.03.15,Padamara,Padamara,4.796,5.266,249,840
33.03.07,Kutasari,Kutasari,6.944,6.093,398,482
33.03.14,Bojongsari,Bojongsari,7.237,6.302,1.111,1.983
33.03.08,Mrebet,Mrebet,3.980,4.184,289,1.051
33.03.08,Mrebet,Serayu Larangan,3.416,3.597,455,697
33.03.09,Bobotsari,Bobotsari,5.829,4.885,738,1.173
33.03.10,Karangreja,Karangreja,4.597,4.714,278,638
33.03.17,Karangjambu,Karangjambu,2.290,2.307,645,1.709
33.03.11,Karanganyar,Karanganyar,3.871,3.948,426,663
33.03.18,Kertanegara,Karangtengah,3.115,3.315,591,758
33.03.12,Karangmoncol,Karangmoncol,5.899,5.132,644,1.830
33.03.13,Rembang,Rembang,7.100,6.265,429,817
